name,category,price
Potato Puff,Burger & Sandwiches,25
Paneom Puff Pastry,Burger & Sandwiches,60
StracoChips,Chaat,50
Aasrtn Cort Pattie,Chaat,60
PanconnRoll,Chaat,80
ChiceedBain Patss Sandwich,Pies / Tarts,80
Chieese Patrier Rdl,Pies / Tarts,60
Cheess Coneer Roll,Burger & Sandwiches,90
BladkForestpie,Burger & Sandwiches,120
CheesyFredch Fries(Plate)),Pastries,60
Belgian Chocolate Ple,Pastries,90
Cheesy French Fiates,Pastries,130
RegularPastry,Pastries,20
Piuttearide Pastry,Chaat,60
Butberr Scorch Pastry),Chaat,60
Vanilla Muffins,Chaat,40
FrentFeiailf Pastry,Chaat,60
Chocolate Muffins,Chaat,50
Chocolate Muffins,Chaat,50
Orro Muffins,Chaat,60
Tgll Acoket Chaat,Chaat,120
Senu Purt,Chaat,60
BucolfPastry,Chaat,80
PaptPurt,Chaat,60
Cheese Cake Pastry,Chaat,100
Dahi Golgappe (Per 6 Pcs),Chaat,60
Red Velvet Pastry,Puddings,110
Jhahl/ Duji Galgappe (Per 6 Pes),Puddings,30
Veg Cheess Pizza,Swiss Roll,250
Hakka Noodles,Swiss Roll,60
Cheess Chill,Perfect Pizzas,150
Manchurrian (Pate),Perfect Pizzas,180
Onion and Capsdian Pizza,Perfect Pizzas,220
Fried Momss (Plate),Perfect Pizzas,100
Veggie Supreme Pizza,Perfect Pizzas,250
